Name,Lifetime[5],Nationality,Notable as,Notes[6]
Nyle DiMarco,b. 1989,American,"Model, actor, deaf activist",B[159]
Diane DiMassa,b. 1959,American,Cartoonist,L[160]
Alex Dimitrov,b. 1984,Bulgarian-American,Poet,G[161]
Emil Dimitrov,1940–2005,Bulgarian,Pop singer,G[162]
Halil İbrahim Dinçdağ,b. 1976,Turkish,"Football referee, athlete",G [163]
Christian Dior,1905–1957,French,Fashion designer,G[164]
Juan Pablo Di Pace,b. 1979,Argentinian,"Actor, singer, and director",G[165]
Carlien Dirkse van den Heuvel,b. 1987,Dutch,Field hockey player,L[166]
Dirk Dirksen,1937–2006,American,Music promoter,G[167]
JD Disalvatore,b. ?,American,"Film director, producer",G[168]
Thomas M. Disch,1940–2008,American,Writer,G[169]
Beth Ditto,b. 1981,American,Rock musician (Gossip),L[170]
Boris Dittrich,b. 1955,Dutch,"Politician, LGBT rights activist",G[171]
Sushant Divgikar,b. ?,Indian,"Model, actor, singer",G[172]
Divine,1945–1988,American,"Actor, drag performer",G[173]
Alix Dobkin,b. 1940,American,Women's music performer-composer,L[174]
Jess Dobkin,b. 1970,Canadian,Performance artist,L[175]
Farzana Doctor,b. ?,Canadian,Writer,L[176]
Bajazid Doda,1888–1933,Albanian,"Ethnographic writer, photographer",G[177]
Nik Dodani,b. 1994,American,"Actor, comedian, activist",G[178]
Betty Dodson,b. 1929,American,Sex educator,B[179]
Owen Dodson,1914–1983,American,"Poet, novelist, playwright",G[180]
Terry Dolan,1950–1986,American,Republican Party operative,G[181]
Xavier Dolan,b. 1989,Canadian,"Film director, actor, screenwriter",G[182]
Domenico Dolce,b. 1958,Italian,"Fashion designer, Dolce & Gabbana",G[183]
Rachel Dolezal,b. 1977,American,"Author, activist, artist, NAACP chapter president, a woman of European ancestry that identifies as black",B[184][185]
Jonathan Dollimore,b. 1948,English,"Sociologist, social theorist",G[186]
Stefanie Dolson,b. 1992,American,Basketball player,L[187]
Colman Domingo,b. 1969,American,Actor,G[188]
Ann Donahue,b. ?,American,TV writer,L[189]
Herb Donaldson,1927–2008,American,"Lawyer, judge",G[190]
Ian Donaldson,b. ?,English,Musician (Bronski Beat),G[191]
Stephen Donaldson,1946–1996,American,Activist,G[192]
Dong Xian,c. 23–1 BC,Chinese (Han Dynasty),Courtier,B[193]
Jorge Donn,1947–1992,Argentine,Ballet dancer,G[194]
Renaud Donnedieu de Vabres,b. 1954,French,Politician,G[195]
Emma Donoghue,b. 1969,Irish,Writer,L[196]
Amanda Donohoe,b. 1962,English,Actor,B[197]
José Donoso,1924-1996,Chilean,Writer,G[198]
Alexander Donskoy,b. ?[5],Russian,Politician,G[199]
Savannah Dooley,b. 1985,American,Screenwriter,L[200]
Thomas Anthony Dooley,1927–1961,American,Humanitarian,G[201]
Simon Doonan,b. 1952,English,Creative Ambassador-at-Large of the New York City-based clothing store Barneys,G[202]
Mary Dorcey,b. 1950,Irish,"Author, poet, novelist, LGBT and women's rights activist",L[203]
Tommy Dorfman,b. 1992,American,Actor,G[204]
Heinz Dörmer,1912–2001,German,"Youth leader, imprisoned by Nazis",G[205]
Karey Dornetto,b. ?,American,Screenwriter,L[206]
Issan Dorsey,1933–1990,American,Soto Zen Buddhist,G[207]
Alfonso Dosal,b. 1985,Mexican,Actor,B[208]
Jason Dottley,b. 1980,American,Actor,G[209]
Mark Doty,b. 1953,American,Poet,G[210]
Cecilia Dougherty,b. ?[5],American,Artist,L[211]
Lord Alfred Douglas,1870–1945,English,"Poet, lover of Oscar Wilde",B[212]
Kyan Douglas,b. 1970,American,Reality show host,G[213]
Michelle Douglas,b. 1963,Canadian,"Former soldier, LGBT rights activist",L[214]
Orville Lloyd Douglas,b. 1976,Canadian,Writer,G[215]
"Edward Douglas-Scott-Montagu, 3rd Baron Montagu of Beaulieu",1927–2015,English,Politician,B[216]
Gregory Douglass,b. 1980,American,Musician,G[217]
Robert Dover,b. 1956,American,Equestrian,G[218]
Anthony Dowell,b. 1943,English,"Ballet dancer, artistic director",G[219]
Brian Dowling,b. 1978,Irish,TV presenter,G[220]
Deidre Downs,b. 1980,American,Physician; 1st former Miss America national titleholder to enter a same-sex marriage,L[221]
JD Doyle,b. 1947,American,"Radio producer, music collector, historian",G[222]
Matt Doyle,b. 1987,American,Actor and singer-songwriter,G[223]
Mike Doyle,b. 1972,American,"Actor, screenwriter, director and producer",G[224]
Marigona Dragusha,b. 1990,Kosovar,1st openly lesbian Miss Kosovo,L[225]
David Drake,b. 1963,American,Actor,G[226]
Karla Drenner,b. 1961,American,"Politician, academic",L[227]
Donna Dresch,b. ?,American,Rock musician (Team Dresch),L[228]
Jack Drescher,b. 1951,American,"Psychiatrist, psychoanalyst",G[229]
James Dreyfus,b. 1968,English,Actor,G[230]
"Tom Driberg, Baron Bradwell",1905–1976,English,"Politician, journalist",G[231]
Ryan Driller,b. 1982,American,Pornographic actor,G[232]
Gert-Jan Dröge,1943–2007,Dutch,"TV presenter, producer, actor, journalist, writer",G[233]
Nancy Drolet,b. 1973,Canadian,Ice hockey player,L[234]
Ed Droste,b. 1978,American,Musician (Grizzly Bear),G[235]
Drubskin,b. 1973,American,Artist,G[236]
Malka Drucker,b. 1945,American,"Rabbi, writer",L[237]
Helene von Druskowitz,1856–1918,Austrian,"Philosopher, writer, music critic",L[238]
Thomas Duane,b. 1955,American,Politician,G[239]
Martin Duberman,b. 1932,American,Historian,G[240]
René-Daniel Dubois,b. 1955,Canadian,Writer,G[241]
Sandi Simcha DuBowski,b. 1970,American,Filmmaker,G[242]
Carol Ann Duffy,b. 1955,Scottish,Poet,L[243]
Maureen Duffy,b. 1933,English,Writer,L[244]
Stella Duffy,b. 1963,English,"Novelist, playwright",L[245]
Kezia Dugdale,b. 1981,Scottish,Politician,L[246]
Greg Duhaime,1953–1992,Canadian,Distance runner,G[40]
André van Duin,b. 1947,Dutch,"Actor, pop musician, writer",G[247]
Maria Dulębianka,1861–1919,Polish,"Writer, suffragist",L[248]
Bonnie Dumanis,b. 1951,American,District Attorney,L[249]
Lucian Dunăreanu,b. 1987,Romanian,"LGBT rights activist, magazine editor",G[250]
Karen Dunbar,b. 1971,Scottish,Comedian,L[251]
Alice Dunbar-Nelson,1875–1935,American,"Poet, journalist, political activist",B[252]
Alan Duncan,b. 1957,English,Member of Parliament,G[253]
Eric Duncan,b. 1977,Canadian,Member of Parliament,G[254]
Isadora Duncan,1887–1927,American,Dancer,B[255]
Katie Duncan,b. 1988,New Zealand,Footballer,L[256]
Priscilla Duncan,b. 1983,New Zealand,Footballer,L[257]
Abby Dunkin,b. 1995,American,Wheelchair basketball player,L[258]
Simon Dunn,b. 1987,Australian,1st openly gay bobsledder in Australia,G[259]
Kristyn Dunnion,b. 1969,Canadian,"writer, performance artist",L[260]
Don Dunstan,1926–1999,Australian,Politician,G[261]
Cheryl Dunye,b. 1966,American,Film director,L[262]
Larry Duplechan,b. 1956,American,Writer,G[263]
Imke Duplitzer,b. 1975,German,Fencer,L[264]
Andrés Duque,b. ?[5],Colombian-American,"Activist, journalist, blogger",G[265]
Alonso Duralde,b. 1967,American,Film critic,G[266]
John Duran,b. ?,American,Mayor of West Hollywood,G[267]
Jenny Durkan,b. 1958,American,"Lawyer, mayor",L[268]
Eleonora Duse,1859–1924,Italian,Actor,B[269]
Guillaume Dustan,1965–2005,French,Writer,G[270]
Clea DuVall,b. 1977,American,Actor and director,L[271]
Andrea Dworkin,1946–2005,American,"Feminist, LGBT rights activist",L[272]
Deborah Dyer,b. 1967,English,Rock musician (Skunk Anansie),B[273]
Elana Dykewomon,b. 1949,American,"Activist, writer",L[274]
Angela Eagle,b. 1961,English,Member of Parliament,L[275]
Thomas Eakins,1844–1916,American,Painter,B[276]
Joan Eardley,1921–1963,Scottish,Artist,L[277]
John Early,b. 1988,American,"Actor, comedian",G[278]
Abbie Eaton,b. 1992,English,Racing driver,L[279]
Michael Ebeid,b. ?[5],Egyptian-Australia,Businessman,G[280]
Fred Ebb,1928–2004,American,Musical theatre lyricist,G[281]
Adam Ebbin,b. 1963,American,First openly gay Virginia delegate,G[282]
Diana L. Eck,b. 1945,American,Harvard Comparative Religion and Indian Studies professor,L[283]
FannyAnn Eddy,1974–2004,Sierra Leonean,"LGBT rights activist, murder victim",L[284]
Lee Edelman,b. 1953,American,"Literary critic, academic",G[285]
Nicholas Eden,1930–1985,English,"2nd Earl of Avon, British Army officer, politician",G[286]
Arjan Ederveen,b. 1956,Dutch,"Actor, comedian, TV producer",G[287]
Laurie Toby Edison,b. 1942,American,Photographer,B[288]
Louis Edmonds,1923–2001,American,Actor,G[289]
Guy Édoin,b. ?,Canadian,"Film director, screenwriter",G[290]
Chike Frankie Edozien,b. ?[5],Nigerian-American,"Writer, journalist",G[291]
Edward II,1284–1327,English,King of England,B[292]
Hilton Edwards,1903–1982,English-Irish,"Actor, theater founder, producer",G[293]
Georges Eekhoud,1854–1927,Belgian,Writer,G[294]
Jim Egan,1921–2000,Canadian,"Activist, writer",G[295]
Susan Eggman,b. 1961,American,Politician,L[296]
Danielle Egnew,b. 1969,American,"Musician, actor, clairvoyant",L[293]
Youri Egorov,1954–1988,Russian,Classical pianist,G[297]
Michelle Ehlen,b. 1978,American,Actor,L[298]
Billy Eichner,b. 1978,American,"Comedian, actor, writer",G[299]
Jorge Eduardo Eielson,1924–2006,Peruvian,"Artist, writer",G[300][301]
Nicole Eisenman,b. 1965,American,"Artist, professor",L[302]
Sergei Eisenstein,1898–1948,Soviet,Film director,G[303]
Sujitra Ekmongkolpaisarn,b. 1977,Thai,Badminton player,L[304]
Uffe Elbæk,b. 1954,Danish,"Politician, businessman, entrepreneur",G[305]
Alber Elbaz,b. 1961,Moroccan-Israeli,Fashion designer,G[306]
Norman Elder,1939–2003,Canadian,"Explorer, writer, artist, Olympic equestrian",G[307]
Sean Eldridge,b. 1986,American,"Investor, politician, activist",G[308]
Beatrice Eli,b. 1987,Swedish,Musician,L[309]
Martha May Eliot,1891–1978,American,"Pediatrician, public health",G[310]
Cássia Eller,1962–2001,Brazilian,Rock musician,L[311]
Adam Elliot,b. 1972,Australian,"Animator, filmmaker",G[312]
Mark Elliot,b. 1953,Canadian,"Radio host, addictions counsellor",G[313]
Denholm Elliott,1922–1992,English,Actor,B[314]
Drew Elliott,b. 1981,American,Global Creative Director of MAC Cosmetics,G[315]
Peter Elliott,b. 1954,Canadian,Anglican priest,G[316]
Stephan Elliott,b. 1964,Australian,"Film director, screenwriter",G[317]
Bret Easton Ellis,b. 1964,American,Writer,G[318]
Edith Ellis,1861–1916,English,Writer,B[319]
Jason Ellis,b. 1971,Australian,"Radio host, skateboarder, mixed martial arts fighter, truck racer, boxer",B[320]
Jill Ellis,b. 1966,English-American,Soccer coach,L[321]
Ruth Ellis,1899–2000,American,"LGBT rights activist, only known African-American centenarian lesbian",L[322]
Sarah Ellis,b. 1952,Canadian,Children's author,L[323]
Sarah Kate Ellis,b. 1971,American,"Media executive, journalist, author, CEO of GLAAD",L[324]
Megan Ellison,b. 1986,American,Film producer,L[325]
Angela Ellsworth,b. ?[5],American,Artist,L[326]
Carmen Elmakiyes,b.1979,Israeli,"Political activist, filmmaker",L[327]
Mable Elmore,b. ?,Canadian,Politician,L[328]
J. McRee Elrod,1932–2016,American,"Librarian, cataloger, minister",G[329]
Robert Elsie,1950–2017,Canadian,Linguist,G[330]
Julian Eltinge,1881–1941,American,"Actor, drag performer",G[331]
Pegah Emambakhsh,b. ?,Iranian,LGBT rights activist,L[332]
Ralph Waldo Emerson,1803–1882,American,"Writer, essayist, poet",B[333]
Daniel Emilfork,1924–2006,Chilean-French,Actor,G[334]
Roland Emmerich,b. 1955,German,Filmmaker,G[335]
Magnus Enckell,1870–1925,Finnish,Painter,G[336]
Esther Eng,1914–1970,American,Filmmaker,L[337]
Cyrus Engerer,b. ?[5],Maltese,Politician,[338]
Selli Engler,1899–1982,German,"Author, lesbian activist",L[339]
Edward Enninful,b. 1972,Ghanaian-British,"Fashion stylist, magazine editor (editor-in-chief of the British Vogue)",G[340]
Nick Enright,1950–2003,Australian,Playwright,G[341]
Anton Enus,b. ?,South African-Australian,TV presenter,G[342]
Epaminondas,418–362 BCE,Theban,"General, statesman",G[343]
Brian Epstein,1934–1967,English,Manager of The Beatles,G[344]
Steven Epstein,b. ?[5],American,"Professor, sociologist",G[345]
Lyudmila Erarskaya,1891–964,Russian,Actor,L[346]
Didier Eribon,b. 1953,French,"Philosopher, intellectual",G[347]
Magdalena Eriksson,b. 1993,Swedish,Footballer,L[348]
Gloria Escomel,b. 1941,Uruguayan-Canadian,Writer,L[349]
Jill Esmond,1908–1990,English,Actor,L[350]
Raúl Esparza,b. 1970,American,Actor,B[351]
Juan Pablo Espinosa,b. 1980,Colombian,Actor,G[352]
Cameron Esposito,b. 1981,American,Comedian and actor,L[353]
Esquerita,1935–1986,American,"R&B singer-songwriter, pianist",G[354]
Óscar Esquivias,b. 1972,Spanish,Writer,G[355]
Jörg van Essen,b. 1947,German,Politician,G[356]
Emily Estefan,b. 1994,American,Singer,L[357]
Esteman,b. 1984,Colombian,Pop singer,G[358]
Abelardo Estorino,1925–2013,Cuban,"Dramatist, theater director, theater critic",G[359]
Jade Esteban Estrada,b. 1975,American,"Pop musician, comedian, choreographer",G[360]
Agustín Humberto Estrada Negrete,b. ?,Mexican,Former director and teacher,G[361]
Melissa Etheridge,b. 1961,American,Rock musician,L[362]
Terence Etherton,b. 1951,British,Judge,G[363]
Asier Etxeandia,b. 1975,Spanish,Actor,G[364]
Wesley Eure,b. 1951,American,Actor,G[365]
Daniel Evans,b. 1973,Welsh,Actor,G[366]
Lisa Evans,b. 1992,Scottish,Footballer,L[367]
Luke Evans,b. 1979,Welsh,Actor,G[368]
Monique Evans,b. 1956,Brazilian,"Model, actor, TV personality",L[369]
Non Evans,b. 1974,Welsh,Sportswoman,L[370]
Owain Wyn Evans,b. 1984,Welsh,"Journalist, TV presenter",G[371]
Scott Evans,b. 1983,American,Actor,G[372]
Uzi Even,b. 1940,Israeli,"Chemistry professor, politician, first openly gay member of Knesset",G[373]
Kenny Everett,1944–1995,English,"DJ, comedian",G[374]
Ray Everett,b. 1969,American,"Lawyer, businessman",G[375]
Rupert Everett,b. 1959,English,Actor,G[376]
Matt Evers,b. 1976,American,Figure skater,G[377]
Edgar de Evia,1910–2003,Mexican-American,Photographer,G[378]
Hanns Heinz Ewers,1871–1943,German,Writer,G[379]
Mark Ewert,b. 1972,American,"Writer, actor",G[380]
Blake McIver Ewing,b. 1985,American,Actor,G[381]
Reid Ewing,b. 1988,American,"Actor, musician",G[382]
Joe Exotic,b. 1963,American,Incarcerated criminal and former zoo operator,G[383]
William Eythe,1918–1957,American,Actor,G[384]
Alicya Eyo,b. 1975,English,Actor,L[385]
Paul Iacono,b. 1988,American,Actor,G[7]
Janis Ian,b. 1951,American,Singer-songwriter,L[8]
Eréndira Ibarra,b. 1985,Mexican,Actor,B[9]
Xandra Ibarra,b. ?[5],American,Performance artist,L[10]
Miquel Iceta,b. 1960,Spanish,Politician,G[11]
Youssef Idilbi,1976-2008,Dutch,Actor,G[12]
Marleen van Iersel,b. 1988,Dutch,Volleyball player,L[13]
Arnell Ignacio,b. 1964,Filipino,"TV personality, actor, singer",B[14]
Witi Ihimaera,b. 1944,New Zealand,Author,G[15]
Allison Ikley-Freeman,b. ?[5],American,Politician,L[16]
Ioannis Ikonomou,b. 1964,Greek,Translator for the EU,G[17]
Nnanna Ikpo,b. ?[5],Nigerian,Novelist,G[18]
Pablo Illanes,b. 1973,Chilean,"Writer, journalist, film director",G [19]
iLoveMakonnen,b. 1989,American,"Rapper, singer",G[20]
Silvana Imam,b. 1986,Lithuanian-Swedish,Rapper,L[21]
Blair Imani,b. 1993,American,"African-American and Muslim activist, writer",L[22]
Connie Imboden,b. 1953,American,Photographer,L[23]
Per Imerslund,1912–1943,Norwegian,"Nazi soldier, writer",G[24]
Facundo Imhoff,b. 1989,Argentine,Volleyball player,G[25]
Mark Indelicato,b. 1994,American,Actor,G[26]
Rita Indiana,b. 1977,Dominican,"Author, singer-songwriter",L[27]
William Inge,1913–1973,American,"Playwright, novelist",G[28]
John Inman,1935–2007,English,Actor,G[29]
Cemil İpekçi,b. 1948,Turkish,Fashion designer,G[30]
Daniela Iraschko-Stolz,b. 1983,Austrian,Ski jumper,L[31]
Percy Irausquin,1969–2008,Aruban-Dutch,Fashion designer,G[32]
Samantha Irby,b. 1980,American,Comedian and author,B[33]
Doug Ireland,b. 1946,American,"Journalist, blogger",G[34]
Evelyn Irons,1900–2000,Scottish,Journalist,L[35]
Daniel K. Isaac,b. ?[5],American,Actor,G[36]
Håkan Isacson,1958–2002,Swedish,Intelligence agent,G[37]
Richard Isay,b. 1934,American,"Author, psychiatrist",G[38]
Sharon Isbin,b. 1956,American,Classical musician,L[39]
Taiga Ishikawa,b. 1974,Japanese,"Politician, activist",G[40]
Wataru Ishizaka,b. 1976,Japanese,"Politician, LGBT rights activist",G[41]
Sam Irvin,b. 1956,American,Director,G[42]
Elisabeth Irwin,1880–1942,American,"Educator, psychologist, reformer",L[43]
Christopher Isherwood,1904–1986,English,Author,G[44]
Arturo Islas,1938–1991,American,Academic,G[45]
Maja Ivarsson,b. 1979,Swedish,Rock musician (The Sounds),B[46]
George Cecil Ives,1867–1950,English,"Poet, writer, penal reformer, gay rights campaigner",G[47]
James Ivory,b. 1928,American,Filmmaker,G[48]
Jarosław Iwaszkiewicz,1894–1980,Polish,"Poet, writer",B[49]
Harish Iyer,b. 1979,Indian,Activist,G[50]
Boris Izaguirre,b. 1965,Venezuelan,Writer,G[51]
Paul Jabara,1948–1992,American,"Actor, singer-songwriter",G[52]
Harold Jackman,1901–1961,British-American,"Teacher, model, and patron of the arts",G[53]
Brian Keith Jackson,b. 1968,American,Writer,G[54]
Cheyenne Jackson,b. 1975,American,Actor,G[55]
Colin Jackson,b. 1967,Welsh,"Sprinter, hurdler",G[56]
Jack Jackson Jr.,b. ?[5],American,Politician,G[57]
Joe Jackson,b. 1954,English,"Singer-songwriter, musician",B[58]
Michael R. Jackson,b. ?[5],American,"Playwright, lyricist and composer",G[59]
Paris Jackson,b. 1998,American,"Actor, daughter of Michael Jackson",B[60]
Max Jacob,1876–1944,French,"Poet, painter, writer, critic",G[61]
Derek Jacobi,b. 1938,English,"Actor, director",G[62]
Helen Jacobs,1908–1997,American,Professional tennis player,L[63]
Marc Jacobs,b. 1963,American,Fashion designer,G[64]
Abbi Jacobson,b. 1984,American,Film actor,B[65]
Peter Marc Jacobson,b. 1957,American,"Actor, director",G[66]
Cheryl Jacques,b. 1962,American,"Politician, LGBT rights activist",L[67]
Louis Jacquinot,1898–1993,French,"Politician, lawyer",G[68]
Felix Jaehn,b. 1994,German,"DJ, record producer",B[69]
Michal Jagelka,b. 1977,Czech,Actor,G[70]
Hans Henny Jahnn,1894–1959,German,"Playwright, novelist",B[71]
Sabrina Jalees,b. 1985,Canadian,Comedian,L[72]
Afdhere Jama,b. 1978,Somalian,Writer,G[73]
Paco Jamandreu,1925–1995,Argentine,"Fashion designer, actor",G[74]
Aiden James,b. 1982,American,Singer-songwriter,G[75]
Duncan James,b. 1978,English,Singer-songwriter (Blue),B[76]
G. Winston James,b. ?[5],American,"Poet, essayist, editor, activist",G[77]
Jeremy James,b. 1978,American,Singer-songwriter,G[78]
Kevin James,b. 1963,American,"Broadcaster, politician, former Assistant U.S. Attorney",G[79]
Margot James,b. 1958,English,"Politician, entrepreneur",L[80]
Marlon James,b. 1970,Jamaican,Writer,G[81]
Parson James,b. 1994,American,Singer-songwriter,G[82]
Sylvester James,1948–1988,American,Singer,G[83]
Crystal Jang,b. ?[5],American,LGBT activist,L[84]
Claude Janiak,b. 1948,Swiss,Politician,G[85]
Maria Janion,1926–2020,Polish,"Scholar, critic, literary theoretician, politician",L[86]
Tove Jansson,1914–2001,Finnish,Author,L[87]
Arthur Japin,b. 1956,Dutch,Novelist,G[88]
Derek Jarman,1942–1994,English,Film director,G[89]
Alfred Jarry,1873–1907,French,Playwright,G[90]
Jason and deMarco (band),b. 1975/1976,American,Christian musical duo,G[91]
Lauren Jauregui,b. 1996,American,Pop singer (Fifth Harmony),B[92]
Karla Jay,b. 1947,American,"Professor, LGBT rights activist",L[93]
Lorri Jean,b. ?,American,LGBT rights activist,L[64]
Alex Jeffers,b. ?[5],American,Writer,G[94]
Patrick Jeffrey,b. 1965,American,Diver,G[95]
Konstanty Jeleński,1922–1987,Polish,Writer,G[96]
Max Jenkins,b. 1985,American,Actor and writer,G[97]
Roy Jenkins,1920–2003,Welsh,"Politician, historian, writer",B[98]
Walter Jenkins,1918–1985,American,Special assistant to U.S. President Lyndon B. Johnson,B[99]
Dale Jennings,1917–2000,American,"LGBT rights activist, playwright, author",G[100]
Drake Jensen,b. 1970,Canadian,country singer-songwriter,G[101]
Hayley Jensen,b. 1992,New Zealand,Cricketer,L[102]
Jeong Yol,b. 1976,South Korean,LGBT and Human Rights activist,G[103]
Christian Jessen,b. 1977,English,"Physician, TV presenter",G.[104]
Jessie J,b. 1988,English,Singer-songwriter,B[105]
Connor Jessup,b. 1994,Canadian,"Actor, writer, director",G[106]
Michael Jeter,1952–2003,American,Actor,G[107]
Charlot Jeudy,1984–2019,Haitian,LGBT rights activist,G[108]
Geri Jewell,b. 1956,American,"Comedian, actor",L[109]
Sarah Orne Jewett,1849–1909,American,Author,L[110]
Sophia Jex-Blake,1840–1912,English,"Physician, suffragette",L[111]
Barbara Jezeršek,b. 1986,Slovenian,Skier,L[112]
Patria Jiménez,b. 1957,Mexican,"Politician, first openly lesbian member of the Congress of Mexico",L[113]
Phil Jimenez,b. 1970,American,Comic artist,G[114]
Emperor Jing of Han,188–141 BC,Chinese (Han Dynasty),Head of state,B[115]
Laurie Jinkins,b. ?[5],American,Politician,L[116]
Napolean Jinnies,b. ?[5],American,One of the first male National Football League (NFL) cheerleaders to perform during the Super Bowl,G[117]
Peter Jöback,b. 1971,Swedish,Singer,G[118]
Jobriath,1946–1983,American,Rock musician,G[119]
Percy Jocelyn,1764–1842,Irish,Anglican Bishop of Clogher,G[120]
Sonja Jógvansdóttir,b. 1977,Faroese,"Journalist, establisher and coordinator of SAMTAK",L[121]
Klara Johanson,1875–1948,Swedish,Journalist,L[122]
Karan Johar,b. 1972,Indian,"Actor, film director, screenwriter, TV personality",G[123]
Navtej Johar,b. 1959,Indian,Choreographer,G[124]
Edmund John,1883–1917,English,Uranian poet,G[125]
Elton John,b. 1947,English,"Pop singer, musician",G[126]
Gwen John,1876–1939,Welsh,Painter,B[127]
Jeffrey John,b. 1953,English,Anglican priest,G[128]
Jasper Johns,b. 1930,American,Artist,G[129]
Christine Johnson,b. 1968,American,Politician,L[130]
Craig Johnson,b. ?,American,"Film director, screenwriter",G[131]
Darren Johnson,b. 1966,English,Politician,G[132]
Dean Johnson,1961–2007,American,"Musician, party promoter",G[133]
Deon K. Johnson,b. ?,Barbadian-American,XI Bishop of Missouri,G[134][135]
Fenton Johnson,b. 1954,American,Author,G[136]
Glory Johnson,b. 1990,American,Basketball player,L[137]
Holly Johnson,b. 1960,English,Musician,G[138]
Jay Armstrong Johnson,b. 1987,American,"Actor, singer,dancer",G[139]
Joanna Johnson,b. 1961,American,Actor,L[140]
Lionel Johnson,1867–1902,English,Poet,G[141]
Liz Johnson,b. 1974,American,Ten-pin bowler,L[142]
My-King Johnson,b. ?,American,1st openly gay football scholarship player in the NCAA (college),G[143]
Philip Johnson,1906–2005,American,Architect,G[144]
Punkie Johnson,b. ?,American,Actress and comedian,L[145]
Scott Johnson,1961–1988[146],American,PhD student who was killed in a homophobic attack,G[147]
Sonia Johnson,b. 1936,American,"Feminist activist, writer",L[148]
Van Johnson,1916–2008,American,"Actor, dancer",G[149]
Frances Benjamin Johnston,1864–1952,American,Photographer,L[150]
Gus Johnston,b. 1979,Australian,"Creative director, filmmaker, LGBT activist, field hockey player",G[151]
Jill Johnston,1929–2010,American,"Feminist author, cultural critic",L[152]
Lyndon Johnston,b. 1961,Canadian,Figure skater,G[153]
William R. Johnson (minister),b.1946,American,first openly gay minister to be ordained in a historic protestant denomination,G[154]
Angelina Jolie,b. 1975,American,Actor,B[155]
Gerard Joling,b. 1960,Dutch,Pop singer,G[156]
Jess Jonassen,b. 1992,Australian,Cricketer,L[157]
Aled Haydn Jones,b. 1976,Welsh,Radio DJ,G[158]
Allison Jones,b. 1984,American,"Paralympic skier, cyclist",L[159]
Bill T. Jones,b. 1952,American,"Dancer, choreographer",G[160]
Cherry Jones,b. 1956,American,Actor,L[161]
Cleve Jones,b. 1954,American,Activist,G[162]
G. B. Jones,b. 1965,Canadian,"Artist, filmmaker",B[163]
Jim Jones,1931-1978,American,Cult leader,B[164]
Owen Jones,b. 1984,English,"Columnist, political commentator, writer, activist",G[165]
Rahne Jones,b. 1987,American,Actor,L[166]
Randy Jones,b. 1952,American,Pop singer (Village People),G[167]
Rosie Jones,b. 1959,American,Golfer,L[168]
Saeed Jones,b. 1985,American,Poet,G[169]
Shevrin D. Jones,b. 1983,American,"Politician, teacher; 1st openly gay African-American legislator in Florida",G[170]
Steffi Jones,b. 1972,German,"Footballer, manager",L[171]
Jónsi,b. 1975,Icelandic,"Rock musician (Sigur Rós, Jónsi & Alex)",G[172]
Dennis de Jong,b. 1955,Dutch,Politician,G[173]
Wolfgang Joop,b. 1944,German,Fashion designer,B[174]
Janis Joplin,1943–1970,American,Singer,B[175]
Barbara Jordan,1936–1996,American,U.S. Representative from Texas,L[176]
June Jordan,1936–2002,American,"Poet, essayist, teacher, activist",B[177]
Leslie Jordan,b. 1955,American,Actor,G[178]
Orlando Jordan,b. 1974[179],American,Professional wrestler,B[180]
Marcel Jouhandeau,1888–1979,French,Writer,G[181]
Robert Joy,b. 1951,Canadian,Actor,G[citation needed]
Mychal F. Judge,1933–2001,American,"Franciscan priest, FDNY chaplain, ""Saint of 9/11""",G[182]
Rafe Judkins,b. 1983,American,TV personality,G[183]
Konrad Juengling,b. 1987,American,"Gay rights activist, writer",G[184]
Isaac Julien,b. 1960,English,"Installation artist, filmmaker, director",G[185]
Jacqueline Julien,b. 1945,French,Lesbian activist,L[186]
Bruno Julliard,b. 1981,French,Politician,G[187]
Miranda July,b. 1974,American,"Performance artist, filmmaker, writer",B[188]
Sabine Jünger,b. 1973,German,Politician,L[189]
Sondre Justad,b. 1990,Norwegian,"Pop singer, musician",B[190]
Jolie Justus,b. 1971,American,Politician,L[191]
Claude Jutra,1930–1986,Canadian,Filmmaker,G[192]
Kersti Juva,b. 1948,Finnish,Translator,L[193]
Patrick Juvet,b. 1950,Swiss,Singer,B[194]
Kasha Nabagesera,b. 1980,Ugandan,Activist,L[7]
Albert Nabonibo,b. 1983/1984,Rwandan,Gospel singer,G[8]
Jim Nabors,1930–2017,American,"Actor, singer",G[9]
Ádám Nádasdy,b. 1947,Hungarian,"Linguist, poet, professor",G[10]
George Nader,1921–2002,American,Actor,G[11]
Timothy Naftali,b. 1962,Canadian-American,"Historian, professor",G[12]
Kabi Nagata,b. ?[5],Japanese,"Manga writer, artist",L[13]
Reut Naggar,b. 1983,Israeli,"Social activist, entrepreneur, politician",L[14]
Adam Nagourney,b. 1954,American,Journalist,G[15]
Leigh-Ann Naidoo,b. 1976,South African,Beach volleyball player,L[16]
Steven Naifeh,b. 1952,American,Writer,G[17]
Kristian Nairn,b. 1975,Northern Irish,"Actor, DJ",G[18]
Kathy Najimy,b. 1957,American,Actor,B[19]
Lynn Nakamoto,b. 1960,American,Judge,G[20]
Bif Naked,b. 1971,Canadian,"Musician, actor",B[21]
Leonardo Nam,b. 1979,Korean-Australian,Actor,G[22]
Billy Name,b. 1940,American,Photographer,G[23]
